#Th spectrum (convoluted)
1.0 3.5670312686920803e-07 2.927428547130514e-10
1.5995995995995997 9.175891438334153e-07 7.500639797725516e-10
2.1991991991991995 1.7437341677514697e-06 1.4196877487547348e-09
2.798798798798799 2.8394005047209737e-06 2.3024676528846177e-09
3.3983983983983985 4.208921125210506e-06 3.3992551116855447e-09
3.9979979979979983 5.85670099951108e-06 4.710899423540145e-09
4.597597597597598 7.787218462221981e-06 6.238247718638233e-09
5.197197197197197 1.0005026606492044e-05 7.98214491450658e-09
5.796796796796797 1.2514754708757607e-05 9.943433674325405e-09
6.396396396396397 1.532110968473937e-05 1.2122954368247045e-08
6.9959959959959965 1.8428877577481974e-05 1.4521545037942877e-08
7.595595595595596 2.184292507824193e-05 1.7140041364616413e-08
8.195195195195195 2.556820108105315e-05 1.9979276640731967e-08
8.794794794794795 2.960973827182235e-05 2.3040081745721245e-08
9.394394394394395 3.397265475283131e-05 2.632328512594308e-08
9.993993993993994 3.866215570354814e-05 2.982971277918488e-08
10.593593593593594 4.368353507867573e-05 3.356018824401002e-08
11.193193193193194 4.904217734439212e-05 3.751553259426788e-08
11.792792792792794 5.474355925376595e-05 4.169656443910254e-08
12.392392392392393 6.079325166235787e-05 4.610409992880852e-08
12.991991991991993 6.719692138504866e-05 5.073895276690255e-08
13.591591591591593 7.396033309516625e-05 5.5601934228796486e-08
14.191191191191193 8.108935126701314e-05 6.06938531874752e-08
14.790790790790792 8.858994216293109e-05 6.601551614660542e-08
15.39039039039039 9.646817586607127e-05 7.156772728151675e-08
15.98998998998999 0.00010473022836007385 7.735128848852572e-08
16.58958958958959 0.00011338238365689679 8.33669994430876e-08
17.18918918918919 0.0001224310359740702 8.96156576672909e-08
17.78878878878879 0.00013188269196269338 9.609805860723156e-08
18.38838838838839 0.00014174397298752565 1.02814995720828e-07
18.98798798798799 0.00015202161746057037 1.0976726057667122e-07
19.58758758758759 0.00016272248322958888 1.169556429645229e-07
20.187187187187188 0.0001738535500230248 1.2438093101811652e-07
20.786786786786788 0.00018542192195286901 1.3204391135093508e-07
21.386386386386388 0.00019743483007703667 1.3994536920567994e-07
21.985985985985987 0.00020989963502288054 1.4808608861817777e-07
22.585585585585587 0.0002228238296735115 1.5646685259650378e-07
23.185185185185187 0.00023621504191865376 1.65088443316146e-07
23.784784784784787 0.00025008103747180873 1.7395164233206174e-07
