"short ex"  
 4.33744373598246 4.04275390052477
 3.17948788672515 3.13563122485519
 2.47251692794607 2.39550536553207
 2.05735753131583 2.00316618425532
 1.77932351763865 1.72118666676743
 1.58269354983009 1.52316005288124
  
"short ion"  
 10.5098102183218 11.1117607543036
 8.8619065746895 9.42915321022728
 7.98107894830938 8.50192341396767
 7.41464729373768 7.90396837999451
 7.01376733779426 7.48060609789976
 6.71334765552536 7.16273572753939
  
"long homo"  
 -5.065 -5.404
 -4.861 -5.222
 -4.755 -5.133
 -4.702 -5.088
 -4.603 -5.012
  
"long ex"  
 1.17203776250713 0.901987759522343
 0.971204082058499 0.640152800044421
 0.88187444017536 0.502547114388835
 0.832223486778693 0.416907064127325
 0.718079511249606 0.240597075238538
  
"long ion"  
 6.00606070182366 6.41059230039415
 5.58452430362568 5.94131173486386
 5.35196372983733 5.64544732271537
 5.21526693163223 5.41808759553574
 4.93378461512036 4.40512717048294
  
"ring homo"  
 -7.26 -7.785
 -6.304 -6.837
 -5.72 -6.329
 -5.823 -6.478
 -5.957 -6.77
 -5.423 -6.395
  
"ring ex"  
 4.35771980933826 4.21593995171805
 3.13035555781978 3.0586295102411
 2.10882101054929 2.12562392346849
 2.4206911345691 2.37969001906311
 2.89313053094843 2.92706869214836
 2.04113215554985 1.97126105634129
  
"ring ion"  
 9.30658665268755 10.2211922550092
 8.00966652409077 8.80185028717897
 7.19881208314133 8.00276905037626
 7.26085409422156 8.09338497440372
 7.21961975266224 8.17716581770007
 6.34000934593724 7.3614401443598
  
"short tddft"  
 4.38008574428276 4.30853505509804
 3.09829085851075 3.02057764817843
 2.4214735500392 2.35384569291717
 2.01228495558707 1.95485596593401
 1.74026125877291 1.69099374661361
 1.54708242925502 1.50517693612614
  
"long tddft"  
 1.14130622631239 1.11792405632028
 0.939652443640319 0.92881648901494
 0.846784438484658 0.84325668338857
 0.799584767149832 0.800807469766297
 0.728732755219675 0.737995191483808
  
"ring tddft"  
 4.12075965851834 3.93980748036276
 2.99684363883197 2.82547194428045
 2.05671830402883 2.04966808984506
 2.38350887940343 2.32164268371147
 2.6393584382275 2.53658409516845
 1.86937951981708 1.79910018934329
  
"short s*s"  
 2.00801794 2
 2.00657163 2.00197085
 2.03448075 2.08583815
 2.04344382 2.09828639
 2.05495352 2.14018962
 2.06528351 2.17554963
  
"long s*s"  
 2.11507576 2.39999789
 2.19684502 2.8682096
 2.31096154 3.4909223
 2.44311128 4.18703501
 3.48251431 7.79972595
  
"ring s*s"  
 2.06789907 2.1461559
 2.02717266 2.05415002
 2.02432296 2.03853725
 2.04703114 2.10886608
 2.06419887 2.16429515
 2.0627229 2.38783584
