C_2H_4         4.33744373598246 4.04275390052477
C_4H_6         3.17948788672515 3.13563122485519
C_6H_8         2.47251692794607 2.39550536553207
C_8H_{10}      2.05735753131583 2.00316618425532
C_{10}H_{12}   1.77932351763865 1.72118666676743
C_{12}H_{14}   1.58269354983009 1.52316005288124
                






