C_{20}H_{22}    5.78398252750271 6.38442270647085
C_{30}H_{32}    5.31043793257826 5.88052499855377
C_{40}H_{42}    5.03655006857893 5.58511669818994
C_{50}H_{52}    4.85681065611762 5.3852663228918 
"C_{100}H_{102} "   4.44344811971467 4.83259702467362
