C_{20}H_{22}    -5.065	-5.3678
C_{30}H_{32}    -4.8611	-5.1468
C_{40}H_{42}    -4.7547	-5.1257
C_{50}H_{52}     -4.7014	-5.1278
"C_{100}H_{102} "   -4.7735	-5.1332









