C_2H_4         4.38008574428276 4.30853505509804
C_4H_6         3.09829085851075 3.02057764817843
C_6H_8         2.4214735500392 2.35384569291717
C_8H_{10}      2.01228495558707 1.95485596593401
C_{10}H_{12}   1.74026125877291 1.69099374661361
"C_{12}H_{14} "   1.54708242925502 1.50517693612614
