	frz	                relax
C_{2}H_{4}	10.0558215855581	9.10979630642197
C_{4}H_{6}	8.82171079643335	8.0904377637712
C_{6}H_{8}	8.09868047853807	7.38260445989135
C_{8}H_{10}	7.65057050348482	6.96396985652879
C_{10}H_{12}	7.35379853451885	6.67262655876924
C_{12}H_{14}	7.14737068594488	6.47381599306081

