C_2H_4        10.5098102183218 11.1117607543036
C_4H_6        8.8619065746895 9.42915321022728
C_6H_8        7.98107894830938 8.50192341396767
C_8H_{10}     7.41464729373768 7.90396837999451
C_{10}H_{12}  7.01376733779426 7.48060609789976
C_{12}H_{14}  6.71334765552536 7.16273572753939

