	        tddftref	   tddftps	        pt2ref	 pt2ps
#C_{2}H_{4}	4.38     	   4.31	                4.54	 4.49
C_{6}H_{6}	4.12     	   3.94	                4.20	 3.68
C_{10}H_{8}	3.00     	   2.83	                3.25	 2.98
C_{14}H_{12}	2.38350887940343   2.32164268371147	2.6	 2.61

